word,freq
holding,11
illinois,11
imported,11
imposition,11
inadequate,11
investigations,11
jim,11
judge,11
keeping,11
ketone,11
latest,11
latter,11
leave,11
likelihood,11
literature,11
longrange,11
looking,11
lot,11
main,11
maintained,11
managing,11
manner,11
manufacturer,11
meaningful,11
methyl,11
minor,11
moreover,11
never,11
nonattainment,11
normal,11
offset,11
overhead,11
pcb,11
penalties,11
perform,11
pleased,11
procedural,11
prompt,11
properly,11
pursue,11
quantity,11
raising,11
raw,11
ready,11
real,11
recognition,11
respective,11
retirement,11
ruling,11
screening,11
seag,11
seconded,11
sectors,11
seem,11
selection,11
sensitive,11
separately,11
shared,11
shipper,11
showed,11
situations,11
solutions,11
speaking,11
staffs,11
strength,11
strengthening,11
suggestions,11
surplus,11
surveillance,11
table,11
taking,11
tennessee,11
teratology,11
tests,11
ties,11
timing,11
ton,11
track,11
trichloroethylene,11
twoyear,11
ultimately,11
unep,11
unless,11
useful,11
versions,11
wasteend,11
waxman,11
whole,11
wisconsin,11
wish,11
across,10
acrs,10
alone,10
analyses,10
appendix,10
applications,10
appropriations,10
associates,10
assurance,10
audit,10
average,10
becoming,10
biotechnology,10
boilers,10
booklet,10
busy,10
calling,10
care,10
changing,10
chemcap,10
cities,10
cleaning,10
commitments,10
committaa,10
complex,10
comply,10
composed,10
conclusions,10
content,10
controversy,10
cooperate,10
corless,10
county,10
creating,10
creation,10
credits,10
damage,10
danforth,10
david,10
davis,10
declined,10
deductions,10
define,10
deha,10
deleted,10
demonstration,10
dermal,10
developmental,10
discharge,10
disclosure,10
discretion,10
donald,10
dont,10
double,10
dupont,10
educators,10
element,10
enter,10
equally,10
equitable,10
essentially,10
ether,10
evaluated,10
eventually,10
expense,10
expensive,10
extending,10
facilitate,10
finalized,10
fluorocarbon,10
focuses,10
gao,10
hamilton,10
hand,10
history,10
hours,10
houses,10
incentive,10
index,10
individually,10
informal,10
interaction,10
interface,10
involve,10
jointly,10
kentucky,10
left,10
louis,10
maintaining,10
margin,10
methodology,10
mining,10
modification,10
morning,10
nalco,10
nevertheless,10
nontariff,10
nor,10
noted,10
nuclear,10
offering,10
official,10
onerous,10
operate,10
packages,10
patented,10
personally,10
pertaining,10
pertinent,10
petrochemicals,10
pharmaceutical,10
pilot,10
plaintiffs,10
posed,10
preemption,10
proceeding,10
proceedings,10
proof,10
prove,10
reaching,10
reagans,10
recall,10
receipts,10
recommending,10
reflects,10
reliable,10
replace,10
reporters,10
responsive,10
restrictive,10
returns,10
sale,10
samaritan,10
satellite,10
scientists,10
semiannual,10
serving,10
sharing,10
she,10
signature,10
species,10
spectrum,10
sponsors,10
stage,10
start,10
subcommittees,10
suits,10
supplement,10
tab,10
teams,10
threat,10
told,10
towards,10
train,10
transfer,10
unit,10
university,10
uruguay,10
utility,10
validity,10
visit,10
votes,10
wellhead,10
weve,10
widely,10
willing,10
wilson,10
withdrawn,10
write,10
zddp,10
zero,10
accident,9
achieving,9
additionally,9
addresses,9
advantage,9
advise,9
advocating,9
aggressive,9
allowing,9
allyl,9
amending,9
